               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080791,            0.044943,            0.084583,             0.30474,            0.062447,            0.028371,            0.014421,            0.051393,            0.023842,            0.074687,            0.070226,           0.0033083,           0.0033083
                   1,            0.055295,            0.040972,            0.068538,             0.49255,             0.12302,            0.081341,            0.036743,             0.04781,            0.018535,            0.063594,             0.04016,           0.0065759,           0.0065759
                   2,            0.053237,            0.037723,            0.058024,             0.47636,             0.23377,             0.11629,            0.054589,            0.043958,            0.019873,             0.05443,            0.010028,           0.0097774,           0.0097774
                   3,             0.05127,            0.038566,            0.049793,             0.35893,             0.23045,             0.14442,            0.071881,            0.045058,            0.020032,            0.054176,            0.009703,            0.009703,            0.009703
                   4,            0.049304,            0.037986,            0.042883,             0.22978,             0.36471,             0.24505,             0.11249,            0.041523,            0.018737,            0.046929,            0.009703,            0.009703,            0.009703
                   5,            0.048123,            0.038008,            0.037228,             0.29025,             0.38446,             0.25886,             0.12464,            0.041402,            0.018747,            0.043769,            0.009604,            0.009604,            0.009604
                   6,            0.047248,            0.038235,            0.033157,             0.32972,             0.38781,             0.28846,             0.12766,            0.041191,            0.018737,            0.039002,            0.009505,            0.009505,            0.009505
                   7,            0.048208,            0.036427,            0.030918,              0.3173,             0.44803,             0.34845,             0.16115,            0.040629,            0.019346,            0.034347,            0.009406,            0.009406,            0.009406
                   8,             0.04729,            0.037952,            0.028066,             0.36178,             0.47395,              0.3658,             0.18177,            0.041489,             0.01997,            0.031643,            0.009307,            0.009307,            0.009307
                   9,            0.046237,            0.037607,            0.025421,             0.34812,              0.4967,             0.39401,             0.19358,            0.038492,            0.018607,            0.028981,            0.009208,            0.009208,            0.009208
                  10,            0.044104,            0.037312,            0.024189,             0.42737,              0.4829,             0.40462,             0.18134,            0.041282,            0.019062,            0.027738,            0.009109,            0.009109,            0.009109
                  11,            0.045004,            0.035177,            0.022369,             0.34688,             0.47478,             0.35939,             0.16421,            0.045461,            0.018813,            0.031567,             0.00901,             0.00901,             0.00901
                  12,            0.044816,            0.035925,            0.022942,             0.35801,             0.42766,             0.32466,             0.15697,            0.038686,            0.019926,            0.038819,            0.008911,            0.008911,            0.008911
                  13,            0.044145,            0.035847,            0.021353,             0.38776,             0.44425,             0.38167,             0.19559,            0.039142,            0.018952,             0.02826,            0.008812,            0.008812,            0.008812
                  14,            0.043648,            0.035992,            0.020019,             0.45168,             0.51007,             0.43419,             0.22512,            0.039586,            0.018692,            0.028042,            0.008713,            0.008713,            0.008713
                  15,            0.043559,            0.035598,            0.017942,             0.47047,             0.56408,             0.51268,             0.26612,            0.036371,            0.018096,            0.022873,            0.008614,            0.008614,            0.008614
                  16,            0.042881,            0.035356,            0.017023,             0.44568,             0.57626,             0.48749,             0.24763,             0.03674,            0.018603,            0.021974,            0.008515,            0.008515,            0.008515
                  17,            0.042318,            0.035286,            0.014381,             0.44056,             0.56691,             0.48552,             0.24037,            0.038358,             0.01804,            0.025123,            0.008416,            0.008416,            0.008416
                  18,            0.042102,            0.034824,            0.014917,             0.47909,             0.52021,             0.49421,             0.25493,            0.038518,            0.017695,            0.026147,            0.008317,            0.008317,            0.008317
                  19,            0.041949,            0.034295,             0.01495,             0.45881,             0.57273,             0.50006,              0.2617,            0.037539,            0.018136,            0.026124,            0.008218,            0.008218,            0.008218
                  20,            0.041616,            0.034685,            0.013967,             0.50779,             0.60555,             0.56245,              0.2982,            0.036231,            0.018181,            0.021493,            0.008119,            0.008119,            0.008119
                  21,            0.041289,            0.033511,            0.013978,             0.50464,             0.57623,              0.5374,             0.29254,            0.036196,            0.018039,            0.024144,             0.00802,             0.00802,             0.00802
                  22,            0.040862,              0.0342,            0.013274,             0.50729,             0.56296,             0.52353,             0.27499,            0.037309,            0.017518,            0.021838,            0.007921,            0.007921,            0.007921
